ngoId,fiscalYear,totalIncome,totalGrant,totalExpense,totalAssets,totalLiabilities,totalFundingGap,sourceOfFunds,majorFunders,ngoBudgetAllocation,ngoBudgetUtilization,auditReport,avgMonthlyExpenditure,avgMonthlyOverhead,longTermLoan,fulltimeEmployees,parttimeEmployees,employmentExpenses,fulltimeVolunteers,parttimeVolunteers,volunteerExpenses,consultants,consultantExpenses,occupancyExpenses,fundraisingExpenses
9dbed3ae-cac1-3944-a250-79d24081982e,2014,,,384803,,,,,,,,,32066.916666666668,,,,,,,,,,,,
6a315fc8-843e-3f25-9c89-28cebdf28fa4,2018,,,1312950,,,,,,,,,109412.5,,,,,,,,,,,,
a3d5308c-818e-3c1e-98fe-ad39dd7a0ad5,2020,,,26487663,,,,,,,,,2207305.25,,,,,,,,,,,,
2e9b08dd-48e2-3553-a5c0-9f08ae6e75a3,2019,,,49730610,,,,,,,,,4144217.5,,,,,,,,,,,,
b996186c-3bcb-3068-9b2d-d0b5359ffef5,2014,,,14272039,,,,,,,,,1189336.5833333333,,,,,,,,,,,,
421c4250-9250-3210-b2ff-6be8c09ce683,2014,,,1296516,,,,,,,,,108043.0,,,,,,,,,,,,
29da6785-3822-3a8b-b6f3-fd279178c7d1,2016,,,205542,,,,,,,,,17128.5,,,,,,,,,,,,
8def1205-bd81-360a-a8c7-53bc90171a45,2015,,,33851964,,,,,,,,,2820997.0,,,,,,,,,,,,
73bb6589-b44a-3d2b-b43a-3e47e07ebafc,2016,,,40656619,,,,,,,,,3388051.5833333335,,,,,,,,,,,,
67289f16-570a-355e-b5be-acec5077a493,2015,,,12747852,,,,,,,,,1062321.0,,,,,,,,,,,,
46759967-62d6-3fd1-b13d-aee263852c67,2015,,,9837281,,,,,,,,,819773.4166666666,,,,,,,,,,,,
e875eb18-62da-3597-9e78-2fc13d2340bf,2018,,,46431126,,,,,,,,,3869260.5,,,,,,,,,,,,
212490f9-76dc-324c-8eca-30b2f9a8436c,2014,,,1754178,,,,,,,,,146181.5,,,,,,,,,,,,
4188f2b1-b445-3c18-bb65-d24d2a2f2ac7,2018,,,29554826,,,,,,,,,2462902.1666666665,,,,,,,,,,,,
8a01d117-da2f-39d0-99eb-0476a1fcd449,2015,,,30118898,,,,,,,,,2509908.1666666665,,,,,,,,,,,,
e9c82cc2-67c6-37a8-a53f-b0e0861827c8,2017,,,1760268,,,,,,,,,146689.0,,,,,,,,,,,,
3340bf32-ef62-3567-a7d5-ffcdef15c247,2018,,,80095984,,,,,,,,,6674665.333333333,,,,,,,,,,,,
b8bc86f0-fa76-3ce0-9cd1-ffae95aa26f6,2017,,,6966757,,,,,,,,,580563.0833333334,,,,,,,,,,,,
bb20eaa8-1e6a-3150-a28f-573acc7db713,2014,,,15919916,,,,,,,,,1326659.6666666667,,,,,,,,,,,,
3c0e04d6-9524-30d2-9039-63159dbb1fcb,2018,,,25097748,,,,,,,,,2091479.0,,,,,,,,,,,,
aff67404-3ab2-3e5a-ad31-ab7f4b5c6fb4,2015,,,15579642,,,,,,,,,1298303.5,,,,,,,,,,,,
c6f79144-b2ff-3199-b210-7c414684bd9b,2020,,,169703707,,,,,,,,,14141975.583333334,,,,,,,,,,,,
4d429756-d4b6-33e8-b8d6-1d42303e6ecb,2018,,,10352426,,,,,,,,,862702.1666666666,,,,,,,,,,,,
5e7e9a49-9ddd-3a22-abaa-0413d4bcc1b9,2019,,,52345293,,,,,,,,,4362107.75,,,,,,,,,,,,
c22c36cf-d8d4-3530-b07d-4f4aebe5ce99,2019,,,5498304,,,,,,,,,458192.0,,,,,,,,,,,,
34ece2d9-819b-3941-bc6c-cef46ecc2cde,2018,,,2650456,,,,,,,,,220871.33333333334,,,,,,,,,,,,
99f95c06-3c16-39f9-8909-48de8f7247b4,2019,,,4836881,,,,,,,,,403073.4166666667,,,,,,,,,,,,
385e09b4-d570-335a-9d15-86786008eaf8,2020,,,18355968,,,,,,,,,1529664.0,,,,,,,,,,,,
227674ff-4e4b-3705-9c1c-b11c60e0fdf1,2014,,,9300444,,,,,,,,,775037.0,,,,,,,,,,,,
e1b33c1c-9757-3af8-ba83-bf544d4db966,2014,,,1046279,,,,,,,,,87189.91666666667,,,,,,,,,,,,
1a876419-8ba0-3c8b-ba9a-b6947c574b31,2016,,,104524,,,,,,,,,8710.333333333334,,,,,,,,,,,,
75a6a569-b561-33ae-924e-43efbafc0c49,2020,,,-57485,,,,,,,,,-4790.416666666667,,,,,,,,,,,,
00cea5e8-4f79-3520-baad-200f0a17ff14,2014,,,0,,,,,,,,,0.0,,,,,,,,,,,,
d4a09ce3-4391-38b2-95c0-9a8fbc2f059e,2013,,,871800,,,,,,,,,72650.0,,,,,,,,,,,,
d2dd7df0-5a79-3543-90a6-4b0b16feee7b,2018,,,6905341,,,,,,,,,575445.0833333334,,,,,,,,,,,,
fe1d67f3-33d8-3e60-8317-22e2a9e87b82,2015,,,1081927,,,,,,,,,90160.58333333333,,,,,,,,,,,,
c7c69af5-d518-369f-b4cd-72e0b0853935,2020,,,86630,,,,,,,,,7219.166666666667,,,,,,,,,,,,
38e08e2d-6ff6-31fa-88a6-bd53b12efd67,2018,,,12859833,,,,,,,,,1071652.75,,,,,,,,,,,,
120393d7-b417-3b56-99ca-76a2e62410d5,2018,,,76432,,,,,,,,,6369.333333333333,,,,,,,,,,,,
bd8d44f3-d7f0-343d-9c77-f4233126b829,2017,,,2102902,,,,,,,,,175241.83333333334,,,,,,,,,,,,
600eb5e9-9da8-387a-ad6a-8794af1fdec7,2020,,,10162091,,,,,,,,,846840.9166666666,,,,,,,,,,,,
8ed9d554-26a4-3c86-882b-5bb3bbdd49d4,2020,,,155859300,,,,,,,,,12988275.0,,,,,,,,,,,,
7e14c820-8454-335c-9644-e7a55f74bc9f,2017,,,281754200,,,,,,,,,23479516.666666668,,,,,,,,,,,,
5437ca18-149b-3b8e-b1cd-163f59ffb95c,2018,,,4615399,,,,,,,,,384616.5833333333,,,,,,,,,,,,
c6d82fea-86e1-3735-98d8-a83a7b0f655a,2012,,,0,,,,,,,,,0.0,,,,,,,,,,,,
8a4f5b9b-462a-38eb-b6d1-719ebc5eb17d,2015,,,1677736,,,,,,,,,139811.33333333334,,,,,,,,,,,,
